best_title,best_url,brand,category,confidence,current_min_price_krw,deal_score,discount_vs_market_pct,market_median_price_krw,offer_count,product,product_id
조선 미녀 맑은 쌀 선크림 50ml,https://prod.danawa.com/info/?pcode=27548912&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,조선미녀,선케어,medium,8400,100,69.8,27835,7,맑은쌀 선크림,2
에뛰드 하우스 순정 2x 베리어 보습 크림 60ml,https://prod.danawa.com/info/?pcode=5018784&keyword=%EC%97%90%EB%9B%B0%EB%93%9C+%EC%88%9C%EC%A0%95+2x+%EB%B2%A0%EB%A6%AC%EC%96%B4+%ED%81%AC%EB%A6%BC&cate=18355397,에뛰드,크림,medium,9880,100,65.4,28550,8,순정 2x 베리어 크림,14
넘버즈인 3번 보들보들 결 세럼 50ml,https://prod.danawa.com/info/?pcode=16003808&keyword=%EB%84%98%EB%B2%84%EC%A6%88%EC%9D%B8+3%EB%B2%88+%EC%84%B8%EB%9F%BC&cate=18255393,넘버즈인,세럼,low,13710,100,54.4,30040,4,3번 보들보들 결 세럼,10
라운드 랩 1025 독도 토너 200ml,https://prod.danawa.com/info/?pcode=4926856&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EB%8F%85%EB%8F%84+%ED%86%A0%EB%84%88&cate=18255391,라운드랩,토너,low,9740,100,47.5,18570,4,1025 독도 토너,7
[해외] 코스알엑스 COSRX 어드벤스드 스네일 96 뮤신 파워 에센스 100ml 2개 수분탄력광채,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228061&cate_c3=228199&cate_c4=0&cmpny_c=EE715&link_prod_c=F569172451&keyword=%EC%BD%94%EC%8A%A4%EC%95%8C%EC%97%91%EC%8A%A4+%EC%8A%A4%EB%84%A4%EC%9D%BC+96+%EC%97%90%EC%84%BC%EC%8A%A4&r=17815120284730&cate=18255393,코스알엑스,에센스,medium,12010,100,44.5,21655,8,어드밴스드 스네일 96 뮤신 에센스,11
토리든 다이브 인 저분자 히알루론산 세럼 50ml,https://prod.danawa.com/info/?pcode=111633540&keyword=%ED%86%A0%EB%A6%AC%EB%93%A0+%EB%8B%A4%EC%9D%B4%EB%B8%8C%EC%9D%B8+%EC%84%B8%EB%9F%BC&cate=18255393,토리든,세럼,low,12910,100,38.7,21059,4,다이브인 세럼,8
메디힐 마데카소사이드 흔적 패드 100매,https://prod.danawa.com/info/?pcode=89518106&keyword=%EB%A9%94%EB%94%94%ED%9E%90+%EB%A7%88%EB%8D%B0%EC%B9%B4%EC%86%8C%EC%82%AC%EC%9D%B4%EB%93%9C+%ED%8C%A8%EB%93%9C&cate=18255391,메디힐,패드,medium,21930,100,34.0,33240,6,마데카소사이드 흔적 패드,15
바이오더마 센시비오 H2O 클렌징 워터 500ml,https://prod.danawa.com/info/?pcode=3090485&keyword=%EB%B0%94%EC%9D%B4%EC%98%A4%EB%8D%94%EB%A7%88+%EC%84%BC%EC%8B%9C%EB%B9%84%EC%98%A4+H2O&cate=18322872,바이오더마,클렌징워터,low,13570,100,32.2,20020,3,센시비오 H2O,18
닥터지 그린 마일드 업 선 플러스 50ml,https://prod.danawa.com/info/?pcode=11187765&keyword=%EB%8B%A5%ED%84%B0%EC%A7%80+%EA%B7%B8%EB%A6%B0+%EB%A7%88%EC%9D%BC%EB%93%9C+%EC%97%85+%EC%84%A0+%ED%94%8C%EB%9F%AC%EC%8A%A4&cate=1833257,닥터지,선케어,medium,11070,100,29.8,15765,6,그린 마일드 업 선 플러스,3
마녀 공장 퓨어 클렌징 오일 200ml,https://prod.danawa.com/info/?pcode=6147107&keyword=%EB%A7%88%EB%85%80%EA%B3%B5%EC%9E%A5+%ED%93%A8%EC%96%B4+%ED%81%B4%EB%A0%8C%EC%A7%95+%EC%98%A4%EC%9D%BC&cate=18322866,마녀공장,클렌징,low,15370,99,27.3,21130,5,퓨어 클렌징 오일,17
이니스프리 레티놀 시카 흔적 앰플 30ml,https://prod.danawa.com/info/?pcode=28468094&keyword=%EC%9D%B4%EB%8B%88%EC%8A%A4%ED%94%84%EB%A6%AC+%EB%A0%88%ED%8B%B0%EB%86%80+%EC%8B%9C%EC%B9%B4+%EC%95%B0%ED%94%8C&cate=18255393,이니스프리,앰플,low,20160,97,26.4,27390,4,레티놀 시카 흔적 앰플,19
아비브 어성초 선 에센스 카밍 드롭 50ml,https://prod.danawa.com/info/?pcode=117606866&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&cate=1833257,아비브,선케어,low,15280,90,22.7,19755,4,어성초 선 에센스,4
라운드 랩 자작 나무 수분 선크림 50ml,https://prod.danawa.com/info/?pcode=11991947&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,라운드랩,선케어,low,13840,85,19.6,17210,5,자작나무 수분 선크림,1
에스트라 아토베리어 365 크림 (구) 80ml,https://prod.danawa.com/info/?pcode=6521915&keyword=%EC%97%90%EC%8A%A4%ED%8A%B8%EB%9D%BC+%EC%95%84%ED%86%A0%EB%B2%A0%EB%A6%AC%EC%96%B4365+%ED%81%AC%EB%A6%BC&cate=18355397,에스트라,크림,low,18810,63,7.7,20375,4,아토베리어365 크림,12
라로슈 포제 안뗄리오스 울트라 선크림 50ml,https://prod.danawa.com/info/?pcode=116119555&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,라로슈포제,선케어,low,20510,62,7.0,22060,4,안뗄리오스 선크림,5
아누아 어성초 77 % 진정 토너 250ml,https://prod.danawa.com/info/?pcode=71589449&keyword=%EC%95%84%EB%88%84%EC%95%84+%EC%96%B4%EC%84%B1%EC%B4%88+77+%ED%86%A0%EB%84%88&cate=18255391,아누아,토너,low,12400,60,5.9,13180,3,어성초 77 수딩 토너,6
스킨 1004 마다가스카르 센텔라 톤 브라이트닝 캡슐 앰플 100ml,https://prod.danawa.com/info/?pcode=118749221&keyword=%EC%8A%A4%ED%82%A81004+%EC%84%BC%ED%85%94%EB%9D%BC+%EC%95%B0%ED%94%8C&cate=18255393,스킨1004,앰플,low,12420,60,5.7,13175,4,마다가스카르 센텔라 앰플,9
셀리맥스 노니 에너지 앰플 30ml,https://prod.danawa.com/info/?pcode=40780628&keyword=%EC%85%80%EB%A6%AC%EB%A7%A5%EC%8A%A4+%EB%85%B8%EB%8B%88+%EC%95%B0%ED%94%8C&cate=18255393,셀리맥스,앰플,low,13990,55,3.1,14445,2,노니 앰플,20
일리윤 세라마이드 아토 집중 크림 200ml,https://prod.danawa.com/info/?pcode=5513881&keyword=%EC%9D%BC%EB%A6%AC%EC%9C%A4+%EC%84%B8%EB%9D%BC%EB%A7%88%EC%9D%B4%EB%93%9C+%EC%95%84%ED%86%A0+%EC%A7%91%EC%A4%91+%ED%81%AC%EB%A6%BC&cate=18355397,일리윤,크림,low,13610,50,0.0,13610,1,세라마이드 아토 집중 크림,13
니들리 데일리 토너 패드 60매,https://prod.danawa.com/info/?pcode=12587132&keyword=%EB%8B%88%EB%93%A4%EB%A6%AC+%EB%8D%B0%EC%9D%BC%EB%A6%AC+%ED%86%A0%EB%84%88+%ED%8C%A8%EB%93%9C&cate=18255391,니들리,패드,low,19550,50,0.0,19550,3,데일리 토너 패드,16
